Ticker,Price,High12m,Low12m,MA20,MA50,RSI,Position12m,DistanceHigh12m,Return5d,Return20d,Volatility20d,AvgDollarVolume30d,DividendPerShare12m,Yield12m,DividendPayments12m,DividendMonths12m,DividendFrequency,IncomeAnnualPer100,IncomeMonthlyEquivalentPer100,ScoreSwing,ScoreDividendos,ScoreHibrido,UpdatedAt
BITX,18.14,66.08,10.32,13.13,12.44,81.74,14.0,-72.55,48.45,50.79,78.6,140535862.0,3.266,18.0,13,13,Mensal,18.0,1.5,71.0,100.0,82.6,2026-08-25 17:08 UTC
PDI,15.47,20.07,14.99,15.75,16.15,40.91,9.4,-22.94,2.15,-3.76,16.53,52457499.0,2.652,17.15,12,12,Mensal,17.15,1.43,71.8,100.0,83.1,2026-08-25 17:08 UTC
TLTW,21.48,24.06,21.02,21.29,21.71,52.22,15.0,-10.74,1.97,-1.36,11.45,23559748.0,2.33,10.85,12,11,Mensal,10.85,0.9,62.5,100.0,77.5,2026-08-25 17:08 UTC
OMAH,18.31,19.53,17.87,18.62,18.72,38.06,26.6,-6.24,-1.02,-3.27,9.66,23067865.0,3.052,16.67,13,13,Mensal,16.67,1.39,58.5,100.0,75.1,2026-08-25 17:08 UTC
ETHT,17.15,116.51,7.32,11.67,10.31,84.08,9.0,-85.28,63.65,59.98,109.12,21347427.0,1.8,10.5,11,10,Mensal,10.5,0.87,73.8,100.0,84.3,2026-08-25 17:08 UTC
XCCC,35.76,39.33,35.69,35.86,36.15,40.81,1.9,-9.06,0.0,-0.57,4.73,15914945.0,3.665,10.25,12,11,Mensal,10.25,0.85,76.7,100.0,86.0,2026-08-25 17:08 UTC
PFFA,20.96,22.43,20.27,20.88,20.86,52.65,31.9,-6.55,-0.19,2.24,7.9,14798172.0,2.064,9.85,12,12,Mensal,9.85,0.82,61.7,100.0,77.0,2026-08-25 17:08 UTC
PTY,11.78,14.59,11.61,11.76,11.83,50.54,5.7,-19.26,0.94,0.43,8.21,14497695.0,1.428,12.12,12,12,Mensal,12.12,1.01,79.6,100.0,87.8,2026-08-25 17:08 UTC
IAUI,52.83,64.55,48.05,51.0,50.03,67.08,28.9,-18.16,2.71,9.12,14.5,11570494.0,6.793,12.86,12,12,Mensal,12.86,1.07,50.2,100.0,70.1,2026-08-25 17:08 UTC
PDO,12.56,14.22,12.44,12.89,13.01,34.57,7.0,-11.64,-1.99,-2.6,11.56,8378072.0,1.536,12.22,12,12,Mensal,12.22,1.02,74.8,100.0,84.9,2026-08-25 17:08 UTC
PFLT,7.41,10.29,6.86,7.31,7.28,53.6,16.2,-27.94,1.3,4.29,25.63,7710545.0,1.176,15.86,12,12,Mensal,15.86,1.32,76.2,100.0,85.7,2026-08-25 17:08 UTC
JPC,7.53,8.29,7.25,7.66,7.75,34.42,26.4,-9.23,-1.51,-2.53,9.84,7218904.0,0.768,10.21,12,12,Mensal,10.21,0.85,64.9,100.0,78.9,2026-08-25 17:08 UTC
HYT,8.27,9.61,8.23,8.35,8.43,37.8,3.3,-13.89,-0.66,-0.54,6.8,6833972.0,0.9348,11.3,12,12,Mensal,11.3,0.94,82.0,100.0,89.2,2026-08-25 17:08 UTC
NMZ,10.07,10.74,10.01,10.18,10.31,36.18,8.2,-6.24,-0.89,-1.37,7.09,6370953.0,0.792,7.86,12,12,Mensal,7.86,0.66,74.6,100.0,84.8,2026-08-25 17:08 UTC
DSL,10.62,12.67,10.53,10.69,10.78,43.95,4.2,-16.18,-0.75,-0.75,9.45,6261513.0,1.32,12.43,12,12,Mensal,12.43,1.04,72.3,100.0,83.4,2026-08-25 17:08 UTC
NVG,12.17,13.46,11.65,12.37,12.55,33.46,28.7,-9.58,-1.7,-2.01,8.26,6010604.0,0.948,7.79,12,12,Mensal,7.79,0.65,67.4,100.0,80.4,2026-08-25 17:08 UTC
KBWD,12.49,14.71,11.96,12.48,12.37,50.2,19.3,-15.09,-0.87,1.79,17.18,5551201.0,1.728,13.84,12,12,Mensal,13.84,1.15,66.1,100.0,79.7,2026-08-25 17:08 UTC
TYG,43.25,51.0,40.41,43.29,43.31,45.83,26.8,-15.2,-2.81,-0.18,17.19,5532483.0,5.48,12.67,12,12,Mensal,12.67,1.06,47.1,100.0,68.3,2026-08-25 17:08 UTC
PHK,4.53,5.02,4.44,4.62,4.63,37.86,16.4,-9.66,-0.33,-1.84,11.62,4562051.0,0.576,12.7,12,12,Mensal,12.7,1.06,64.1,100.0,78.5,2026-08-25 17:08 UTC
FSCO,5.09,7.52,4.55,5.05,4.95,55.38,18.1,-32.33,-1.18,3.02,11.39,4503615.0,0.757,14.88,12,12,Mensal,14.88,1.24,81.5,100.0,88.9,2026-08-25 17:08 UTC
BIT,11.94,13.95,11.88,12.16,12.3,32.33,3.1,-14.37,-0.87,-2.01,7.77,4296451.0,1.488,12.46,12,12,Mensal,12.46,1.04,87.4,100.0,92.4,2026-08-25 17:08 UTC
AGGH,19.97,21.02,19.77,19.88,20.02,52.62,15.6,-5.02,0.43,0.4,5.51,4185900.0,1.5,7.51,12,12,Mensal,7.51,0.63,63.0,100.0,77.8,2026-08-25 17:08 UTC
EVV,9.07,10.4,9.02,9.14,9.22,39.39,3.6,-12.79,-0.66,-0.11,6.92,4151282.0,0.867,9.56,12,12,Mensal,9.56,0.8,79.0,100.0,87.4,2026-08-25 17:08 UTC
JFR,7.57,8.45,7.17,7.68,7.67,40.27,31.6,-10.36,-0.85,-0.85,8.52,4124768.0,0.978,12.91,12,12,Mensal,12.91,1.08,68.2,100.0,80.9,2026-08-25 17:08 UTC
PCN,11.73,13.45,11.43,11.75,11.76,49.47,15.1,-12.75,0.38,0.82,8.57,3875012.0,1.356,11.56,12,12,Mensal,11.56,0.96,59.1,100.0,75.5,2026-08-25 17:08 UTC
GLAD,19.72,26.42,16.55,19.46,19.37,54.0,32.1,-25.36,1.34,2.07,20.68,3326659.0,1.915,9.71,13,12,Mensal,9.71,0.81,64.9,100.0,78.9,2026-08-25 17:08 UTC
BTZ,10.11,11.17,9.74,10.14,10.15,46.65,25.9,-9.49,-0.79,1.1,11.14,3161236.0,1.008,9.97,12,12,Mensal,9.97,0.83,49.4,100.0,69.6,2026-08-25 17:08 UTC
LQDW,23.44,25.4,23.24,23.38,23.61,50.14,9.1,-7.73,0.59,-0.52,4.88,3150251.0,2.778,11.85,12,11,Mensal,11.85,0.99,71.8,100.0,83.1,2026-08-25 17:08 UTC
DSU,9.39,10.65,9.35,9.45,9.56,37.78,2.7,-11.88,-0.37,-0.27,5.42,3024840.0,1.188,12.66,12,12,Mensal,12.66,1.05,82.0,100.0,89.2,2026-08-25 17:08 UTC
AWF,10.15,11.41,9.88,10.14,10.16,50.54,17.6,-11.04,0.0,0.5,5.82,3020568.0,0.792,7.8,13,12,Mensal,7.8,0.65,68.4,100.0,81.0,2026-08-25 17:08 UTC
BHK,9.03,10.11,8.72,9.04,9.03,50.25,22.4,-10.67,0.46,0.91,12.7,2867638.0,0.9,9.97,12,12,Mensal,9.97,0.83,56.5,100.0,73.9,2026-08-25 17:08 UTC
WDI,12.82,15.25,12.75,13.07,13.33,31.14,2.8,-15.94,-2.44,-1.76,9.69,2762420.0,1.788,13.95,12,11,Mensal,13.95,1.16,87.3,100.0,92.4,2026-08-25 17:08 UTC
