Ticker,Price,High12m,Low12m,MA20,MA50,RSI,Position12m,DistanceHigh12m,Return5d,Return20d,Volatility20d,AvgDollarVolume30d,DividendPerShare12m,Yield12m,DividendPayments12m,DividendMonths12m,DividendFrequency,IncomeAnnualPer100,IncomeMonthlyEquivalentPer100,ScoreSwing,ScoreDividendos,ScoreHibrido,UpdatedAt
ETHD,31.35,103.73,28.0,52.73,64.79,19.23,4.4,-69.77,-44.88,-46.25,110.41,17012937.0,5.276,16.83,11,11,Mensal,16.83,1.4,94.3,93.5,93.8,2026-08-25 17:08 UTC
NHS,5.97,7.73,5.95,6.03,6.1,37.48,1.2,-22.75,-0.64,-0.31,7.9,1006549.0,1.0888,18.23,12,12,Mensal,18.23,1.52,89.0,100.0,93.4,2026-08-25 17:08 UTC
BIT,11.94,13.95,11.88,12.16,12.3,32.33,3.1,-14.37,-0.87,-2.01,7.77,4296451.0,1.488,12.46,12,12,Mensal,12.46,1.04,87.4,100.0,92.4,2026-08-25 17:08 UTC
WDI,12.82,15.25,12.75,13.07,13.33,31.14,2.8,-15.94,-2.44,-1.76,9.69,2762420.0,1.788,13.95,12,11,Mensal,13.95,1.16,87.3,100.0,92.4,2026-08-25 17:08 UTC
ABR,5.2,12.46,4.79,5.15,5.13,51.34,5.3,-58.31,6.02,2.06,43.18,19788430.0,0.94,18.09,4,4,Trimestral,18.09,1.51,97.1,86.8,90.9,2026-08-25 17:08 UTC
MUA,9.97,11.79,9.94,10.13,10.52,31.61,1.4,-15.48,-0.94,-3.06,10.15,3344524.0,0.672,6.74,12,12,Mensal,6.74,0.56,86.4,97.2,90.7,2026-08-25 17:08 UTC
DLY,13.83,15.65,13.51,14.05,14.0,35.44,15.0,-11.63,-2.12,-0.29,8.25,2655805.0,1.404,10.15,12,12,Mensal,10.15,0.85,84.3,100.0,90.6,2026-08-25 17:08 UTC
CCAP,10.75,15.94,10.68,11.12,11.09,41.86,1.3,-32.56,-0.65,-3.85,32.77,2572772.0,1.68,15.63,6,6,Trimestral,15.63,1.3,89.6,90.0,89.8,2026-08-25 17:08 UTC
HYT,8.27,9.61,8.23,8.35,8.43,37.8,3.3,-13.89,-0.66,-0.54,6.8,6833972.0,0.9348,11.3,12,12,Mensal,11.3,0.94,82.0,100.0,89.2,2026-08-25 17:08 UTC
DSU,9.39,10.65,9.35,9.45,9.56,37.78,2.7,-11.88,-0.37,-0.27,5.42,3024840.0,1.188,12.66,12,12,Mensal,12.66,1.05,82.0,100.0,89.2,2026-08-25 17:08 UTC
FSCO,5.09,7.52,4.55,5.05,4.95,55.38,18.1,-32.33,-1.18,3.02,11.39,4503615.0,0.757,14.88,12,12,Mensal,14.88,1.24,81.5,100.0,88.9,2026-08-25 17:08 UTC
HIO,3.48,4.04,3.48,3.54,3.59,36.11,0.9,-13.74,-1.83,-0.71,9.83,1316540.0,0.432,12.4,12,12,Mensal,12.4,1.03,80.6,100.0,88.4,2026-08-25 17:08 UTC
SPOK,10.51,18.16,10.24,10.95,10.7,42.3,3.4,-42.13,-4.19,-3.49,29.56,1805640.0,1.252,11.91,4,4,Trimestral,11.91,0.99,89.5,87.0,88.0,2026-08-25 17:08 UTC
NPCT,9.66,11.08,9.66,9.76,9.84,38.7,0.4,-12.77,-0.77,-1.07,7.99,1124930.0,1.188,12.29,12,12,Mensal,12.29,1.02,79.9,100.0,87.9,2026-08-25 17:08 UTC
PTY,11.78,14.59,11.61,11.76,11.83,50.54,5.7,-19.26,0.94,0.43,8.21,14497695.0,1.428,12.12,12,12,Mensal,12.12,1.01,79.6,100.0,87.8,2026-08-25 17:08 UTC
MARO,4.47,20.46,3.79,4.29,5.09,49.09,4.1,-78.15,17.94,-7.26,79.28,1741409.0,8.663,193.8,47,12,Mensal,193.8,16.15,91.3,85.0,87.5,2026-08-25 17:08 UTC
EVV,9.07,10.4,9.02,9.14,9.22,39.39,3.6,-12.79,-0.66,-0.11,6.92,4151282.0,0.867,9.56,12,12,Mensal,9.56,0.8,79.0,100.0,87.4,2026-08-25 17:08 UTC
CIK,2.43,3.04,2.42,2.44,2.45,46.68,2.4,-19.9,0.62,-0.2,6.55,1082679.0,0.258,10.6,12,12,Mensal,10.6,0.88,78.4,100.0,87.0,2026-08-25 17:08 UTC
BPRE,12.09,18.11,11.98,12.41,12.94,40.3,1.7,-33.27,0.71,-2.46,46.94,10698025.0,0.99,8.19,8,8,Trimestral,8.19,0.68,82.8,93.0,86.9,2026-08-25 17:08 UTC
GOF,9.73,15.15,9.42,10.32,10.57,32.62,5.5,-35.74,-4.09,-6.84,29.98,23609880.0,2.184,22.43,12,12,Mensal,22.43,1.87,89.5,84.8,86.7,2026-08-25 17:08 UTC
ISD,12.35,14.77,12.23,12.45,12.65,40.45,4.5,-16.42,-0.44,-1.16,8.54,1809277.0,1.26,10.21,12,11,Mensal,10.21,0.85,77.7,100.0,86.6,2026-08-25 17:08 UTC
SEMY,13.2,24.91,13.07,13.78,14.6,31.51,1.1,-47.0,-3.27,-5.64,18.95,2297723.0,16.818,127.36,40,10,Mensal,127.36,10.61,93.2,82.0,86.5,2026-08-25 17:08 UTC
SBIT,35.7,74.47,23.98,52.57,56.82,21.19,23.2,-52.06,-35.59,-37.97,78.48,32685535.0,2.893,8.1,12,11,Mensal,8.1,0.68,84.0,90.1,86.4,2026-08-25 17:08 UTC
FMC,10.94,40.14,10.01,10.6,11.01,51.71,3.1,-72.76,8.05,-0.05,88.05,37157324.0,0.82,7.5,4,4,Trimestral,7.5,0.62,88.8,84.5,86.2,2026-08-25 17:08 UTC
VVR,2.94,3.65,2.93,2.96,2.97,43.74,1.4,-19.45,0.34,-0.34,9.73,1887379.0,0.42,14.29,12,12,Mensal,14.29,1.19,76.8,100.0,86.1,2026-08-25 17:08 UTC
XCCC,35.76,39.33,35.69,35.86,36.15,40.81,1.9,-9.06,0.0,-0.57,4.73,15914945.0,3.665,10.25,12,11,Mensal,10.25,0.85,76.7,100.0,86.0,2026-08-25 17:08 UTC
TSLY,22.24,48.25,20.49,21.73,24.49,45.32,6.3,-53.91,2.16,5.8,27.22,11622393.0,22.901,102.97,47,12,Mensal,102.97,8.58,87.7,84.7,85.9,2026-08-25 17:08 UTC
PFLT,7.41,10.29,6.86,7.31,7.28,53.6,16.2,-27.94,1.3,4.29,25.63,7710545.0,1.176,15.86,12,12,Mensal,15.86,1.32,76.2,100.0,85.7,2026-08-25 17:08 UTC
BRW,6.46,8.37,6.38,6.58,6.6,39.75,4.2,-22.78,-0.57,-2.22,13.82,1383182.0,1.0193,15.77,12,12,Mensal,15.77,1.31,75.9,100.0,85.5,2026-08-25 17:08 UTC
BGB,11.18,12.6,10.94,11.25,11.28,37.24,14.5,-11.27,-0.8,0.0,4.64,1439680.0,0.93,8.32,12,11,Mensal,8.32,0.69,75.6,100.0,85.4,2026-08-25 17:08 UTC
FAX,14.56,16.8,14.16,14.54,14.53,49.98,15.3,-13.3,-0.58,1.01,10.46,1928546.0,1.98,13.59,12,12,Mensal,13.59,1.13,75.5,100.0,85.3,2026-08-25 17:08 UTC
EFT,10.68,12.15,10.35,10.78,10.74,42.2,18.3,-12.1,-1.93,0.09,8.08,1005881.0,0.926,8.67,12,11,Mensal,8.67,0.72,75.4,100.0,85.2,2026-08-25 17:08 UTC
ECC,3.85,7.7,3.51,3.84,3.77,54.0,8.1,-50.0,1.85,2.39,16.66,3119994.0,1.28,33.25,12,12,Mensal,33.25,2.77,86.2,84.3,85.1,2026-08-25 17:08 UTC
SRTY,21.85,54.39,20.49,21.75,22.25,49.25,4.0,-59.83,1.63,-5.29,46.76,34763150.0,1.911,8.75,4,4,Trimestral,8.75,0.73,83.6,87.0,85.0,2026-08-25 17:08 UTC
DUST,29.5,180.5,29.5,44.59,54.85,25.5,0.0,-83.65,-30.0,-53.67,106.4,45687500.0,2.767,9.38,4,4,Trimestral,9.38,0.78,96.8,77.0,84.9,2026-08-25 17:08 UTC
JDST,19.3,151.8,19.3,28.71,35.65,27.89,0.0,-87.29,-29.15,-53.11,112.96,16174996.0,2.488,12.89,4,4,Trimestral,12.89,1.07,96.8,77.0,84.9,2026-08-25 17:08 UTC
PDO,12.56,14.22,12.44,12.89,13.01,34.57,7.0,-11.64,-1.99,-2.6,11.56,8378072.0,1.536,12.22,12,12,Mensal,12.22,1.02,74.8,100.0,84.9,2026-08-25 17:08 UTC
NMZ,10.07,10.74,10.01,10.18,10.31,36.18,8.2,-6.24,-0.89,-1.37,7.09,6370953.0,0.792,7.86,12,12,Mensal,7.86,0.66,74.6,100.0,84.8,2026-08-25 17:08 UTC
BGH,14.04,16.8,13.19,14.18,14.14,42.56,23.5,-16.45,-2.32,0.05,8.69,1145530.0,1.464,10.43,12,12,Mensal,10.43,0.87,74.7,100.0,84.8,2026-08-25 17:08 UTC
AMDD,29.83,155.56,26.5,29.93,29.32,49.73,2.6,-80.82,1.19,-8.3,79.96,21714683.0,3.99,13.38,4,4,Trimestral,13.38,1.11,83.2,87.0,84.7,2026-08-25 17:08 UTC
FTHY,13.39,14.74,13.25,13.48,13.54,39.26,9.4,-9.16,-0.07,-1.69,4.46,1253917.0,1.5,11.2,12,12,Mensal,11.2,0.93,74.4,100.0,84.6,2026-08-25 17:08 UTC
TSLW,17.95,42.3,15.03,16.92,19.51,49.93,10.7,-57.57,5.59,15.21,50.11,1373527.0,18.043,100.52,53,13,Mensal,100.52,8.38,85.1,83.9,84.4,2026-08-25 17:08 UTC
ETHT,17.15,116.51,7.32,11.67,10.31,84.08,9.0,-85.28,63.65,59.98,109.12,21347427.0,1.8,10.5,11,10,Mensal,10.5,0.87,73.8,100.0,84.3,2026-08-25 17:08 UTC
PMT,9.28,13.81,9.28,9.45,9.92,40.15,0.0,-32.82,-1.62,-5.24,26.02,13135167.0,1.6,17.25,4,4,Trimestral,17.25,1.44,82.5,87.0,84.3,2026-08-25 17:08 UTC
PFL,7.6,8.65,7.56,7.72,7.74,39.38,3.7,-12.14,-0.39,-1.3,9.98,1646084.0,0.972,12.79,12,12,Mensal,12.79,1.07,73.8,100.0,84.3,2026-08-25 17:08 UTC
SAR,18.49,25.55,17.45,19.11,19.97,38.13,12.8,-27.63,-1.07,-4.1,26.52,2697987.0,3.25,17.58,12,12,Mensal,17.58,1.46,73.6,100.0,84.2,2026-08-25 17:08 UTC
GHY,11.57,13.38,11.27,11.68,11.8,38.88,14.5,-13.49,-1.07,-1.32,7.41,1673381.0,1.26,10.89,12,11,Mensal,10.89,0.91,73.4,100.0,84.0,2026-08-25 17:08 UTC
PDT,12.61,13.58,12.55,12.75,12.83,38.85,5.8,-7.14,-0.39,-2.63,7.2,1475231.0,1.006,7.98,12,12,Mensal,7.98,0.66,73.4,100.0,84.0,2026-08-25 17:08 UTC
SEVN,7.72,11.02,7.49,7.66,8.06,45.64,6.5,-29.95,1.18,-3.98,23.22,1276177.0,1.12,14.51,4,4,Trimestral,14.51,1.21,82.1,86.6,83.9,2026-08-25 17:08 UTC
WNTR,19.98,44.59,19.98,25.14,26.77,27.52,0.0,-55.19,-25.25,-25.11,59.56,4330457.0,30.047,150.39,47,13,Mensal,150.39,12.53,96.8,75.0,83.7,2026-08-25 17:08 UTC
