Ticker,SecurityName,AssetType,IsETF,Price,High12m,Low12m,MA20,MA50,RSI,Position12m,DistanceHigh12m,Return5d,Return20d,Volatility20d,AvgDollarVolume30d,DividendPerShare12m,Yield12m,DividendPayments12m,DividendMonths12m,DividendFrequency,DividendGrowth6mPct,DividendCV,IncomeAnnualPer100,IncomeMonthlyEquivalentPer100,ScoreSwing,ScoreDividendos,ScoreHibrido,UpdatedAt
PAX,Patria Investments Limited - Class A Common Shares,Acao,False,10.62,17.59,10.62,11.3,11.18,34.97,0.0,-39.62,-6.1,-8.68,23.02,13691431.0,0.626,5.89,4,4,Trimestral,8.67,0.042,5.89,0.49,90.3,59.5,71.8,2026-09-14 10:56 UTC
COUR,"Coursera, Inc. Common Stock",Acao,False,5.22,12.07,5.09,5.89,5.76,35.76,1.9,-56.75,-13.14,-10.0,46.52,28429601.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,89.1,0.0,35.6,2026-09-14 10:56 UTC
BUR,Burford Capital Limited Ordinary Shares,Acao,False,4.35,12.91,3.92,4.32,4.26,51.56,4.8,-66.31,1.16,-1.36,37.45,6737148.0,0.063,1.45,1,1,Anual/Irregular,0.0,1.0,1.45,0.12,87.8,1.5,36.0,2026-09-14 10:56 UTC
CPB,The Campbell's Company - Common Stock,Acao,False,21.0,33.75,20.0,22.9,22.6,35.41,7.3,-37.78,-5.11,-9.79,38.54,164186605.0,1.56,7.43,4,4,Trimestral,0.0,0.0,7.43,0.62,87.2,64.8,73.8,2026-09-14 10:56 UTC
STN,Stantec Inc Common Stock,Acao,False,69.66,113.7,66.75,73.24,71.63,36.52,6.2,-38.73,-4.63,-5.88,20.9,26027568.0,0.348,0.5,2,2,Semestral,-2.27,0.011,0.5,0.04,87.1,27.2,51.2,2026-09-14 10:56 UTC
IONS,"Ionis Pharmaceuticals, Inc. - Common Stock",Acao,False,54.21,86.5,51.77,59.38,59.28,35.46,7.0,-37.33,-6.74,-2.97,38.15,150545723.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,87.0,0.0,34.8,2026-09-14 10:56 UTC
OCS,Oculis Holding AG - Ordinary shares,Acao,False,10.56,32.65,10.56,12.46,12.42,23.6,0.0,-67.66,-13.23,-17.63,38.2,2529731.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,87.0,0.0,34.8,2026-09-14 10:56 UTC
PBH,Prestige Consumer Healthcare Inc. Common Stock,Acao,False,46.95,70.21,45.44,50.98,50.74,33.69,6.1,-33.13,-10.67,-8.52,30.84,26786893.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,86.7,0.0,34.7,2026-09-14 10:56 UTC
VIPS,"Vipshop Holdings Limited American Depositary Shares, each representing two ordinary shares",Acao,False,12.47,20.68,12.47,13.57,14.17,26.6,0.0,-39.7,-4.66,-11.94,26.42,40705861.0,0.62,4.97,1,1,Anual/Irregular,0.0,1.0,4.97,0.41,86.5,28.6,51.8,2026-09-14 10:56 UTC
THO,"Thor Industries, Inc. Common Stock",Acao,False,72.86,120.34,71.92,76.63,76.59,39.41,1.9,-39.45,-3.85,-7.63,27.43,42443444.0,2.08,2.85,4,4,Trimestral,0.0,0.0,2.85,0.24,86.4,44.4,61.2,2026-09-14 10:56 UTC
MZTI,The Marzetti Company - Common Stock,Acao,False,104.05,183.02,101.2,110.97,110.93,38.69,3.5,-43.15,-1.51,-11.39,34.32,40830383.0,4.0,3.84,4,4,Trimestral,0.0,0.0,3.84,0.32,86.4,36.2,56.3,2026-09-14 10:56 UTC
ECC,Eagle Point Credit Company Common Share of Beneficial Interest,Acao,False,3.7,7.02,3.51,3.84,3.81,37.92,5.4,-47.29,-4.39,-4.39,21.81,3099625.0,1.2,32.43,12,12,Mensal,-57.14,0.4,32.43,2.7,86.4,32.6,54.1,2026-09-14 10:56 UTC
CIGI,Colliers International Group Inc.  - Subordinate Voting Shares,Acao,False,93.35,169.29,88.81,101.65,100.49,38.02,5.6,-44.86,-7.38,-11.76,35.11,22900376.0,0.3,0.32,2,2,Semestral,0.0,0.0,0.32,0.03,86.3,15.2,43.6,2026-09-14 10:56 UTC
NATR,"Nature's Sunshine Products, Inc. - Common Stock",Acao,False,13.55,27.8,13.14,14.16,17.67,25.83,2.8,-51.26,-1.81,-11.44,22.63,3372435.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,86.2,0.0,34.5,2026-09-14 10:56 UTC
